,словесное_описание_модели,беспредложное,предложное,слова
0," 
в ком", , , ходить
1, из кого-чего, , , состоять
2, из памяти, , , изгладиться
3, из-за чего, , , спорить
4, из, , , увертюра
5, к кому-л., , , приверженный
6, к чему-л., , , приверженный
7, к, , , увертюра
8, касательно чего, gen, , разговаривать
9, кого (вин. пад.), acc, , бояться
10, кого (род. пад.), gen, , бояться
11, кого до чего, acc, , довезти
12, кого к кому-чему, gen, , антипатия
13, кого к кому, , , приворожить
14, кого от кого-чего, acc, , изолировать
15," кого-, что-л. куда", acc, , выгрузить
16," кого-, что-л. где", ac, , сажать
17," кого-, что-л. кому", acc, , предать
18," кого-, что-л. куда", acc, , сажать
19," кого-, что-л. чему", acc, , предать
20, кого-кого, acc, , у
21, кого-л. от чего, acc, , предостеречь
22, кого-л. против чего, acc, , предостеречь
23, кого-л. чем, acc ins, , упрекать
24, кого-чего в кого-что, acc, , превращение
25, кого-чего с кем-чем, acc, , взаимодействие
26, кого-что до чего, acc, , довести
27, кого-что за кем-чем, ac, , закрепить
28, кого-что куда, acc, , вселить
29, кого-что на что, acc, , вдохновить
30, кого-что от чего, acc, , предохранить
31, кого-что по чему, acc, , превосходить
32, кого-что с чего, acc, , своротить
33, кому в чем, dat, , отказать
34, кому к чему, acc, , присчитать
35, кому кого-что, dat ac, , поручить
36, кому что во что, dat acc, , вменить
37, кому-чему что, dat acc, , преградить
38, на (постели), , , лежать
39, на кого-л. по чему, , , походить
40, на кого-л. чем, ins, , походить
41, на ком-чем, , , отозваться
42, около кого-чего, , , увиваться
43, откуда, , , стартовать
44, относительно чего, , , разговаривать
45, подле кого-чего, , , увиваться
46, при ком-чем, , , трепетать
47, против кого-что, , , атака
48, с кем из-за чего, , , препираться
49, чего во что, gen, , претворение
50, чего на что, gen, , реакция
51, чего-л. от кого, gen, , добиваться
52, чего-л. у кого, gen, , добиваться
53, чем за что, ins, , платить
54, чем на кого-что, ins, , похожий
55, чем по чему, ins, , водить
56, чем с кем, ins, , обменяться
57, что во что-кого, acc, , запустить
58, что и что, acc, , сравнить
59, что из чего, acc, , извлечь
60, что кем, acc ins, , заселить
61, что на кого, acc, , взвести
62, что на ком, acc, , выместить
63, что у кого, acc, , конфисковать
64, что чему, acc dat, , предпослать
65, что-л. во что, acc, , красить
66, что-л. подо что, acc, , приспособить
67, что-л. с чем, acc, , мыть
68, что-л. чему, acc, , посвятить
69,"во что к кому, , , заглянуть, залезть
70, во что кому, , ," заглянуть, залезть"
71, за чем, , ," контроль, проследить"
72, кого с кем, gen, ," матч, недоразумение"
73, кого чего, gen, ," народить, стеречься"
74, кого чему, acc dat, ," обучить, учить"
75, кого-л. за что, acc, ," винить, упрекать"
76, кого-л. на что, acc, ," приговорить, уполномочить"
77, кого-л. о чем, acc, ," подозревать, предуведомить"
78, кого-что к кому-чему, acc, ," привязать, причислить"
79, кого-что с кем-чем, acc, ," сравнить, уравнять"
80, между кем-чем, , ," взаимодействие, между"
81, на что к кому, , ," броситься, кинуться"
82, подо что, , ," идти2, подладиться"
83, про что, , ," разговаривать, рассказать"
84, что кому, acc dat, ," предоставить, создать"
85, что куда, acc, ," забросить, закинуть"
86, что на кого-что, cc, ," взвалить, призвать"
87, что на чем, acc, ," акцентировать, базировать"
88, что-л. для кого, acc, ," открыть, предназначить"
89, что-л. для чего, acc, ," приспособить, употребить"
90, что-л. из чего, acc, ," изъять, поливать"
91, что-л. к чему, acc, ," приспособить, устремить"
92, что-л. на чем, acc, ," повесить, уставить"
93, что-л. с кого, acc, ," брать, получить"
94,"
 

вокруг чего", , ," обежать, обойти, объехать"
95, до кого-чего, , ," допускать, относиться, снизойти"
96, за кем, , ," вдогонку, записать"
97, из-за кого-чего, , ," переживать, страдать, убиваться"
98, из себя, , ," видный, изображать, собой"
99, из чего, , ," глава, исходить, фрагмент"
100, кого кем, acc ins, ," величать, гримировать, провозглашать"
101, кого о чем, acc, ," информировать, оповестить, осведомить"
102, кого от чего, acc, ," гарантировать, отвадить, страховать"
103," кого-, что-л. где", acc, ," опустить, положить, посадить"
104," кого-, что-л. куда", acc, ," опустить, положить, посадить"
105, кого-л. к чему, acc, ," представить, приговорить, уполномочить"
106, кого-что в чем, acc, ," ограничить, превосходить, уравнять"
107, кому-чему в чем, dat, ," подражать, соболезновать, уподобиться"
108, на что кому, dat, ," броситься, кинуться, упасть"
109, про кого-что, , ," история, писать, упомянуть"
110, собой, , ," видный, изображать, собой"
111, среди кого, gen, ," болезни, пользоваться, случаться"
112, что в кого-что, acc, ," вдохнуть, вколотить, вонзить"
113, что-л. к кому, acc, ," подбросить 1, предъявить, снести"
114, что-л. чем, acc ins, ," красить, мыть, поливать"
115,"
 
кого за что", acc, ," вознаградить, извинить, премировать, простить"
116, кого к чему, acc, ," приобщить, приохотить, присудить, приучить"
117, кого на что, acc, ," вербовать, взвести, воодушевить, провоцировать"
118, кого-л. в чем, acc, ," винить, подозревать, уверить, упрекать"
119, кого-л. где, acc, ," высадить 1, заточить, поселить, усадить"
120, кого-л. куда, acc, ," высадить 1, заточить, поселить, усадить"
121, кого-что кому-чему, acc, ," вверить, подчинить, предпочесть, препоручить"
122, кому чем, dat ins, ," грозить, докучать, досадить, обязан"
123, против кого, , ," играть, интриговать, подозрение, репрессии"
124, с чего, , ," идти 4, копия, лопнуть, начать"
125, что-л. на что, acc, ," повесить, употребить, уставить, устремить"
126, что с чем, acc, ," ассоциировать, равнять, сверить, сообразовать"
127,"в кого-что", , ," вперить, извериться, напроситься, нацелиться, перекрестить"
128, кого в чем, acc, ," заподозрить, изобличить, разубедить, разуверить, убеждать"
129, кого-что кем-чем, acc ins, ," заменить, именовать, ограничить, окрестить, окружить"
130, над кем, , ," мудрить, насильничать, процесс, расправа, скорбеть"
131, обо что, , ," облокотиться, опереться, стучаться, удариться, упереться"
132, о ком, , ," замолвить слово, некролог, панихида, скорбеть, хлопотать 2"
133, перед чем, , ," безоружный, восхищение, незадолго, смириться, страх"
134, с кого, , ," взыскивать, взять, начинать, собирать, требовать"
135, что с чего на что, acc, ," перевернуть, перевести, передать 2, перемотать, переписать"
136,"кого во что", acc, ," вовлечь, втравить, замешать, затянуть, обрядить, путать"
137,"между чем", , ," аналогия, взаимосвязь, несоответствие, связь, соответствие, соотношение"
138,"по ком", , ," вопить, голосить, панихида, причитать, скорбеть, траур"
139,"что-л. кому", acc dat, ," открыть, подбросить 1, послать, предназначить, предъявить, снести"
140,"по отношению к кому", , ," вежливый, любезный, мягкий, покладистый, поступить,
предупредительный, тактичный"
141,"что от чего", acc, ," отграничить, отличить, отмести, отстоять 1, разграничить, различить,
страховать"
142,"в ком-чем", , ," воплотить, извериться, необходимость, обмануться, прок, разочарование, разочароваться, уверенный"
143, кого-что к чему, acc, ," подготовить, подтащить, подтянуть, привлечь, пригвоздить, прижать, приковать, прикрепить"
144, кого-что от кого-чего, acc, ," беречь, защитить, оберегать, оборонять, освободить, отделить, охранять, стеречь"
145, между кем, , ," вражда, встреча, матч, недоразумение, отношения, спор, ссора, товарообмен"
146, по кому, , ," вопить, выть, голосить, панихида, причитать, равняться, скорбеть, траур"
147, что-л. в ком, acc, ," будить, возбудить, воспитывать, вызвать, осуждать, презирать, развивать, ценить"
148, что-л. от кого, acc, ," брать, воспринять, выведать, отнять, отобрать, получить, принимать, унаследовать"
149,"от кого", , ," взыскивать, взять, допытываться, исходить, научиться, письмо, собирать,
требовать, увести"
150,"от кого-чего", , ," бегать, защита, независимый, отстать, представитель, прок, стеречься,
страдать, удалиться"
151,"что на что", acc, ," ассигновать, взгромоздить, затратить, набросить, надеть, накинуть,
облокотить, обменить, обменять"
152,"в кого", , ," выдаться, вырасти, зачислить, избрать, нанять, обернуться, переодеться, прочить,
рекомендовать, стрелять"
153,"за кого", , ," гордиться, замолвить слово, просить, рад, сватать, свататься, скорбеть, слыть,
страшиться, хлопотать2"
154,"перед кем-чем", , ," беззащитный, беспомощный, бессильный, благоговеть, капитулировать,
пасовать 1, предстать, преимущество, робеть, трепетать"
155,"до чего", , ," алчный, дожидаться, доискиваться, достать 1, жадность, жадный, незадолго,
охотник, охочий, падкий, свести"
156,"
над чем", , ," биться , властелин, возиться, доминировать, думать, задуматься, мучиться,
превалировать, преобладать, раздумывать, хлопотать 1"
157,"

кем", , ," вырасти, зачислить, избрать, коноводить, нанять, начинать, обернуться, переодеться, предводительствовать, прочить, слыть, ходить"
158, перед кем, , ," виниться, долг, заискивать, замолвить слово, лицемерить, ответственность, открыться, подотчетный, прав, пресмыкаться, хвастаться, хлопотать 2"
159, по кому-чему, , ," вздыхать, горевать, грустить, плакать, скучать, соскучиться, страдать, стрелять, тоска, тосковать, тужить, убиваться"
160, по ком-чем, , ," вздыхать, горевать, грустить, плакать, скучать, соскучиться, страдать, стрелять, тоска, тосковать, тужить, убиваться"
161, против чего, , ," акт, возразить, грешить, иммунитет, лекарство, преступление, протестовать, спорить, средство, устойчивость, устойчивый, устоять"
162, с кем-чем, , ," бороться, борьба, воевать, война, драться, конкурировать, наздравствоваться, несогласие, равный, сражаться, сродный, экспериментировать"
163,"на кого", , ," восстать, выучиться, доказать, думать, записать, лгать, налгать, охотиться,
подозрение, работать, равняться, учиться, характеристика"
164,"за кем-чем", , ," вслед, наблюдать, наблюдения, надзирать, недоглядеть, недосмотреть,
понаблюдать, последовать, приглядеть, присмотреть, следить, следовать, уследить,
усмотреть"
165,"через что", , ," перебежать, перевалить, переехать, перейти, перелететь, перемахнуть, переплыть,
переползти, перепрыгнуть, перескочить, переступить, перешагнуть, проехать, пройти"
166,"у кого", , ," взыскивать, взять, должать, допытываться, заискивать, замолвить слово,
консультироваться, научиться, пользоваться, служба, случаться, собирать, спросить,
требовать, увести, хлопотать 2"
167,"что-л. у кого", acc, ," брать, будить, возбудить, воспитывать, воспринять, выведать, вызвать,
изъять, осуждать, отнять, отобрать, получить, презирать, принимать, развивать,
унаследовать, ценить"
168,"
 
кого-что во что", acc, ," ввергнуть, ввести, ввязать, включить, вмешать, внести, вогнать, впихнуть,
впутать, втолкнуть, втянуть, завернуть, загнать, заключить, затащить, одеть, окутать"
169,"
кому что", dat acc, ,"  вернуть, возвратить, вручить, гарантировать, дарить, жаловать, извинить,
инкриминировать, обеспечить, обещать, оставить, преподать, преподнести, присудить,
простить, уготовить, уступить"
170,"
 
на чем", , ," акцент, базироваться, вешать, выписать, гравировать, дублированный, играть,
кончить, кончиться, написать, основать, основываться, помириться, разойтись, согласиться,
специализироваться, ударение, упор, упражняться"
171,"
 
над кем-чем", , ," властвовать, восторжествовать, главенствовать, глумиться, довлеть, дрожать,
иронизировать, командовать, контроль, наблюдать, наблюдения, нависнуть, насмешничать,
плакать, понаблюдать, превосходство, смеяться, тяготеть, умилиться, экспериментировать"
172,"
против кого-чего", , ," беззащитный, бороться, борьба, бунтовать, воевать, возмущение, война,
восстановить, восстать, вотировать, драться, защита, злоба, настроиться, нацелиться,
негодовать, ополчиться, предубеждение, предубежденный, сражаться"
173,"
 

за кого-что", , ," агитировать, болеть, волноваться, вотировать, голосовать, гордость, гордый,
дрожать, опасаться, ответить, отвечать, переживать, постоять, радеть, радость, страдать,
стыдиться, считать, тревожиться, трепетать, ходатайствовать"
174,"
 
за что", , ," браться, дергать, задеть, заплатить, зацепить, компенсация, корить, купить, обвинять,
озабоченность, оплата, ответственность, отметка, пенять, попрекнуть, порицать, претензия,
придерживаться, роптать, соревноваться, спорить, тянуть 1, уплатить, цена"
175,"
кем-чем", , ," верховодить, восхититься, восхищение, гордиться, гордость, гордый, командовать,
льститься, любоваться, маневрировать, наполненный, наскучить, обиженный, обильный,
озаботиться, перекрестить, полный, править, пренебречь, разочарован, руководить, скудный,
считать, умилиться"
176,"
к кому-чему", , ," апеллировать, беспощадный, близкий, внимательный, доверие, допускать,
злоба, настроиться, недоверие, непримиримость, непримиримый, нетерпимый, ожесточиться,
относиться, подладиться, подходить, прибегнуть, приверженность, принадлежать, снизойти,
снисходительный, сочувствие, требование, тяготеть"
177,"
кого-что чем", acc ins, ," забросать, забрызгать, загородить, заклеймить, закрыть, исполнить, обвязать,
обдать, обнести, обогатить, обрызгать, обставить, одеть, озарить, ознаменовать, окатить,
окутать, опоясать, опутать, оскорбить, оснастить, осыпать, превосходить, украсить"
178,"
 

к кому", , ," благоволить, благосклонный, близость, дело 1, добрый, жаловать, идти 3, ласковый,
неблагосклонный, нежный, непочтительный, отвезти, отнести, отослать, отправить, письмо,
подольститься, послание, почтительный, претензия, привезти, придраться, принести,
свататься, справедливый, строгий, упасть"
