,Unnamed: 0,verbs,bigram_all_cases,preposition_data,bigrams_all_cases_CAT,preposition data,bigrams_all_cases_CAT_negation
0,0,формироваться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'на': 2, 'произвольность': 1, 'мировоззрение': 1, 'облик': 1, 'путeм': 1, 'ребeнок': 1, 'новый': 1, 'под': 1, 'у': 1, 'в': 1}","{'gen': 52, 'acc': 35, 'ins': 70, 'dat': 5}","{'с': 14, 'в': 175, 'под': 29, 'за': 19, 'по': 13, 'вследствие': 2, 'из': 27, 'на': 61, 'через': 11, 'между': 2, 'посредством': 5, 'согласно': 2, 'благодаря': 6, 'после': 3, 'для': 4, 'вокруг': 7, 'среди': 1, 'у': 9, 'относительно': 2, 'путем': 4, 'при': 6, 'к': 1, 'помимо': 1, 'со': 1, 'вне': 1}","{'gen': 50, 'acc': 35, 'ins': 70, 'dat': 5}"
1,1,расширяться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'и': 2, 'ни-ни': 1, 'при': 1, 'или': 1, 'за': 1, 'а': 1}","{'gen': 17, 'acc': 6, 'ins': 3, 'dat': 1}","{'до': 9, 'за': 13, 'с': 2, 'в': 9, 'на': 3, 'по': 2, 'ввиду': 1, 'от': 1, 'благодаря': 1, 'к': 1, 'посредством': 1, 'во': 1}","{'gen': 17, 'acc': 6, 'ins': 3, 'dat': 1}"
2,2,отличать,"{'gen': 0, 'dat': 0, 'acc': 8, 'ins': 0, 'loc': 0}",,"{'gen': 9, 'acc': 285, 'ins': 0, 'dat': 1}","{'от': 17, 'за': 1, 'по': 2, 'в': 1}","{'gen': 9, 'acc': 285, 'ins': 0, 'dat': 1}"
3,3,выражеть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 4, 'acc': 76, 'ins': 110, 'dat': 13}","{'в': 71, 'вовне': 1, 'при': 2, 'с': 1, 'на': 2, 'у': 1, 'прежде': 1, 'через': 1, 'для': 1}","{'gen': 4, 'acc': 76, 'ins': 110, 'dat': 13}"
4,4,отнимать,"{'gen': 0, 'dat': 0, 'acc': 1, 'ins': 0, 'loc': 0}",{'у': 2},"{'gen': 1, 'acc': 9, 'ins': 1, 'dat': 0}","{'от': 3, 'около': 1, 'у': 9}","{'gen': 1, 'acc': 9, 'ins': 1, 'dat': 0}"
5,5,сокрушаться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'ведь': 1, 'чем': 1, 'о': 1, 'что': 1}","{'gen': 0, 'acc': 0, 'ins': 1, 'dat': 0}","{'по': 3, 'о': 1}","{'gen': 0, 'acc': 0, 'ins': 1, 'dat': 0}"
6,6,удостоиться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 8, 'acc': 0, 'ins': 1, 'dat': 0}",{'в': 1},"{'gen': 6, 'acc': 0, 'ins': 1, 'dat': 0}"
7,7,повредить,"{'gen': 1, 'dat': 5, 'acc': 6, 'ins': 1, 'loc': 0}",,"{'gen': 3, 'acc': 4, 'ins': 5, 'dat': 11}","{'в': 3, 'во': 1}","{'gen': 3, 'acc': 4, 'ins': 5, 'dat': 11}"
8,8,вырастать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'только': 1, 'в': 1, 'и': 1}","{'gen': 0, 'acc': 6, 'ins': 1, 'dat': 1}","{'до': 3, 'из': 20, 'на': 3, 'в': 3, 'за': 1, 'от': 1}","{'gen': 0, 'acc': 6, 'ins': 1, 'dat': 1}"
9,9,фреймировать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 12, 'ins': 1, 'dat': 0}",{},"{'gen': 0, 'acc': 12, 'ins': 1, 'dat': 0}"
10,10,рифмоваться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 2, 'acc': 1, 'ins': 0, 'dat': 0}",{'с': 2},"{'gen': 2, 'acc': 1, 'ins': 0, 'dat': 0}"
11,11,дезертировать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}","{'из': 4, 'с': 1, 'в': 1, 'на': 1}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
12,12,отличиться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'и': 2, 'мудрено': 1, 'угодить': 1, 'но': 1, 'в': 1}","{'gen': 3, 'acc': 4, 'ins': 1, 'dat': 1}","{'в': 2, 'во': 1}","{'gen': 3, 'acc': 4, 'ins': 1, 'dat': 1}"
13,13,переформулировать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 1, 'acc': 15, 'ins': 1, 'dat': 0}","{'с': 2, 'в': 2, 'для': 1}","{'gen': 1, 'acc': 15, 'ins': 1, 'dat': 0}"
14,14,уносить,"{'gen': 0, 'dat': 0, 'acc': 2, 'ins': 0, 'loc': 0}","{'ноги': 1, 'эту': 1}","{'gen': 0, 'acc': 4, 'ins': 0, 'dat': 0}","{'с': 1, 'на': 1, 'в': 2}","{'gen': 0, 'acc': 4, 'ins': 0, 'dat': 0}"
15,15,перестроить,"{'gen': 0, 'dat': 0, 'acc': 4, 'ins': 0, 'loc': 0}","{'артистические': 1, 'перевернуть': 1, 'работу': 1, 'жизнь': 1, 'еe': 1, 'на': 1}","{'gen': 1, 'acc': 15, 'ins': 0, 'dat': 0}","{'от': 1, 'на': 2, 'в': 2, 'из': 1, 'вокруг': 1}","{'gen': 1, 'acc': 15, 'ins': 0, 'dat': 0}"
16,16,задавать,"{'gen': 3, 'dat': 9, 'acc': 17, 'ins': 0, 'loc': 0}",,"{'gen': 11, 'acc': 366, 'ins': 126, 'dat': 42}","{'по': 3, 'с': 2, 'до': 1, 'в': 13, 'из': 1, 'во': 3, 'для': 2, 'на': 4, 'путем': 1, 'про': 1}","{'gen': 8, 'acc': 366, 'ins': 126, 'dat': 42}"
17,17,пересылать,"{'gen': 0, 'dat': 1, 'acc': 1, 'ins': 0, 'loc': 0}","{'отцу': 1, 'что-то': 1}","{'gen': 0, 'acc': 3, 'ins': 0, 'dat': 1}","{'в': 2, 'по': 1}","{'gen': 0, 'acc': 3, 'ins': 0, 'dat': 1}"
